2026-08-25 04:56:21.487 | POST | /api/documents/upload | 500 | 11ms | IP=::1 | ROLE=superuser
2026-08-25 04:56:36.813 | POST | /api/documents/upload | 400 | 8ms | IP=::1 | ROLE=superuser
2026-08-25 04:56:59.355 | POST | /api/documents/upload | 400 | 8ms | IP=::1 | ROLE=superuser
2026-08-25 04:59:08.759 | POST | /api/documents/upload | 400 | 14ms | IP=::1 | ROLE=superuser
2026-08-25 05:05:13.596 | POST | /api/documents/upload | 201 | 21ms | IP=::1 | ROLE=superuser
2026-08-25 09:46:34.544 | GET | /api/vehicles | 200 | 5ms | IP=::1 | ROLE=superuser
2026-08-25 09:46:44.248 | GET | /api/vehicles | 304 | 2ms | IP=::1 | ROLE=fleet-manager
2026-08-25 09:46:50.776 | GET | /api/vehicles | 403 | 10ms | IP=::1 | ROLE=business-client
2026-08-25 09:47:07.833 | GET | /api/vehicles | 403 | 5ms | IP=::1 | ROLE=business-client
2026-08-25 09:49:21.246 | GET | /api/vehicles | 200 | 1ms | IP=::1 | ROLE=fleet-manager
2026-08-25 10:00:16.301 | POST | /api/documents/upload | 400 | 17ms | IP=::1 | ROLE=SuperUser
2026-08-25 10:06:13.523 | POST | /api/documents/upload | 201 | 25ms | IP=::1 | ROLE=superuser
